"","stressor","explanatory_var","response_var","effect","pval","pval_signif","conf_high","conf_low","expl_dev","pval_shape"
"1","Conductivity","lvl07_crop","thr_day",0.579972206934161,0,TRUE,0.594438329472237,0.565564197860224,0.0762561597860826,21
"2","Dissolved_Oxygen","lvl07_crop","thr_day",0.307560797529308,7.18686942546626e-209,TRUE,0.327050269923618,0.287957556721468,0.0198821463198708,21
"3","pH","lvl07_crop","thr_day",-0.574048021429739,3.3875916807397e-181,TRUE,-0.535247347000907,-0.613656223143115,0.0245183577660208,21
"4","Dissolved_Chloride","lvl07_crop","thr_day",0.875299879884429,9.61907075871078e-186,TRUE,0.934112714202202,0.816010707131534,0.116522471738246,21
"5","Nitrate","lvl07_crop","thr_day",-0.761257167901471,3.2209104127484e-102,TRUE,-0.692812838769059,-0.831890154941864,0.017496459274489,21
"6","Turbidity","lvl07_crop","thr_day",0.817509557740479,0,TRUE,0.845110297301909,0.790126143767063,0.062953806050092,21
"7","Total_Phosphorous","lvl07_crop","thr_day",-0.049875884725285,0.0811835597952257,FALSE,0.00526767645439186,-0.106898950433031,0.000138142948335353,19
"8","Total_Dissolved_Solids","lvl07_crop","thr_day",-1.5631576370303,1.46835170606477e-136,TRUE,-1.44266474529162,-1.6891041746154,0.0392319652689346,21
"9","Conductivity","lvl07_forestry_harvest","thr_day",-0.574170235948269,0,TRUE,-0.550885320840291,-0.597611759825978,0.0297002168039922,21
"10","Dissolved_Oxygen","lvl07_forestry_harvest","thr_day",0.0105204891277596,0.386364045724375,FALSE,0.0342045069842933,-0.0134068540535211,1.73932372492484e-05,19
"11","pH","lvl07_forestry_harvest","thr_day",0.654192580392087,0,TRUE,0.676723957156724,0.631674020857045,0.066349914759735,21
"12","Dissolved_Chloride","lvl07_forestry_harvest","thr_day",-2.72640939417575,6.43237533592244e-120,TRUE,-2.50340388578176,-2.96288124262015,0.200724037450719,21
"13","Nitrate","lvl07_forestry_harvest","thr_day",-0.460801010132823,7.93608133480749e-161,TRUE,-0.42745640243842,-0.494301580723159,0.0200520478258213,21
"14","Turbidity","lvl07_forestry_harvest","thr_day",-1.37408465420118,0,TRUE,-1.341543615161,-1.40693008011622,0.176050632626901,21
"15","Total_Phosphorous","lvl07_forestry_harvest","thr_day",0.356019224543895,1.07850599761179e-65,TRUE,0.396764869319341,0.31523631448778,0.0127154310239565,21
"16","Total_Dissolved_Solids","lvl07_forestry_harvest","thr_day",-0.0891898482758067,1.66537741661308e-08,TRUE,-0.0582808927273801,-0.120233059875156,0.000949234752538548,21
"17","Conductivity","lvl07_mines","thr_day",0.580060733133063,0,TRUE,0.598215931596446,0.561944557699954,0.0448166389861777,21
"18","Dissolved_Oxygen","lvl07_mines","thr_day",-0.445209211641491,8.23561413394312e-102,TRUE,-0.404916047644565,-0.486393817852054,0.0135850687160831,21
"19","pH","lvl07_mines","thr_day",-1.92885206836099,9.17330194075612e-292,TRUE,-1.82688488349005,-2.0340144648055,0.0708748021784655,21
"20","Dissolved_Chloride","lvl07_mines","thr_day",-1.07635661233705,8.33687916092425e-49,TRUE,-0.93830535112762,-1.22618884584738,0.0728553776622664,21
"21","Nitrate","lvl07_mines","thr_day",1.07031707934663,0,TRUE,1.09647510310733,1.04434704561362,0.211300450638572,21
"22","Turbidity","lvl07_mines","thr_day",-0.7289378545501,0,TRUE,-0.704902600380179,-0.75323835051233,0.072157131099633,21
"23","Total_Phosphorous","lvl07_mines","thr_day",-0.201394599119391,1.9224712347504e-39,TRUE,-0.171421929075019,-0.231502684206418,0.00780700782096195,21
"24","Total_Dissolved_Solids","lvl07_mines","thr_day",0.535808451443006,0,TRUE,0.558617459638343,0.513054186510669,0.0645820447901547,21
"25","Conductivity","lvl07_nav_water","thr_day",-0.536641102143119,0,TRUE,-0.515206251135945,-0.558502278006792,0.045836713229912,21
"26","Dissolved_Oxygen","lvl07_nav_water","thr_day",0.419694747932716,9.11074070526796e-221,TRUE,0.445535388899022,0.393659224021054,0.020177700001168,21
"27","pH","lvl07_nav_water","thr_day",0.250394567619314,4.50115654588764e-225,TRUE,0.265633691411372,0.234984044775771,0.0179846401054679,21
"28","Dissolved_Chloride","lvl07_nav_water","thr_day",0.475533300771341,1.6082298717995e-12,TRUE,0.603482499673693,0.339272984429714,0.00724807595289752,21
"29","Nitrate","lvl07_nav_water","thr_day",-3.34118468554309,1.01340128251355e-295,TRUE,-3.1650415503561,-3.52138698192467,0.0818989980933826,21
"30","Turbidity","lvl07_nav_water","thr_day",0.241357876926192,1.23250034226143e-84,TRUE,0.265621041600363,0.217083879929801,0.00573219592208338,21
"31","Total_Phosphorous","lvl07_nav_water","thr_day",-0.449900589710999,1.17617754001776e-23,TRUE,-0.363399504715261,-0.539330169791984,0.00532644501393288,21
"32","Total_Dissolved_Solids","lvl07_nav_water","thr_day",-3.37778938555997,2.96373494963462e-231,TRUE,-3.17751030544615,-3.58533408337157,0.138792206315194,21
"33","Conductivity","lvl07_night_lights","thr_day",0.241154102680413,7.85966913478503e-275,TRUE,0.254502594171749,0.227815015891749,0.0138152891661679,21
"34","Dissolved_Oxygen","lvl07_night_lights","thr_day",0.370690005738494,0,TRUE,0.388175094816547,0.353119524607245,0.0339631993923935,21
"35","pH","lvl07_night_lights","thr_day",-0.391098995568164,3.41540663577987e-108,TRUE,-0.356789103254644,-0.426180745211354,0.0135698600654746,21
"36","Dissolved_Chloride","lvl07_night_lights","thr_day",1.40289604473564,0,TRUE,1.47134721322203,1.3365648698875,0.3592009975292,21
"37","Nitrate","lvl07_night_lights","thr_day",-0.370129007798794,9.22100165604815e-46,TRUE,-0.319999241500662,-0.422231427043613,0.00687248123088517,21
"38","Turbidity","lvl07_night_lights","thr_day",0.399000731920546,0,TRUE,0.418482501110797,0.379600036745848,0.0258668936298136,21
"39","Total_Phosphorous","lvl07_night_lights","thr_day",0.254308926331253,4.42679861247793e-21,TRUE,0.306692963830901,0.200844234049873,0.00351179140538608,21
"40","Total_Dissolved_Solids","lvl07_night_lights","thr_day",-7.4586453787776,0,TRUE,-7.15730712455173,-7.76389197196679,0.0998111775992676,21
"41","Conductivity","lvl07_pasture","thr_day",0.506026731288572,0,TRUE,0.520907441549148,0.491177142345081,0.0513427521170089,21
"42","Dissolved_Oxygen","lvl07_pasture","thr_day",0.28834940947261,7.27733870598869e-153,TRUE,0.309785891138871,0.266865513355859,0.0154662300244653,21
"43","pH","lvl07_pasture","thr_day",-0.289872270892782,2.64104145089909e-85,TRUE,-0.261034511497111,-0.319093108480095,0.00930672042090184,21
"44","Dissolved_Chloride","lvl07_pasture","thr_day",0.986869114163023,6.80216994855093e-218,TRUE,1.0481942850436,0.925360253739212,0.141534009182089,21
"45","Nitrate","lvl07_pasture","thr_day",-0.610943474233712,2.64301845686086e-114,TRUE,-0.559061868752291,-0.664504846531386,0.0192750794334274,21
"46","Turbidity","lvl07_pasture","thr_day",0.853420836604376,0,TRUE,0.887262733901461,0.819904152801621,0.0432368405438184,21
"47","Total_Phosphorous","lvl07_pasture","thr_day",-0.170311719579622,0.000938444133856999,TRUE,-0.0719593358587447,-0.273948705037955,0.000527262431399489,21
"48","Total_Dissolved_Solids","lvl07_pasture","thr_day",-6.52077373749041,2.36828603339736e-277,TRUE,-6.16768633992502,-6.88612938406507,0.138910755013789,21
"49","Conductivity","lvl07_population_density","thr_day",0.361514505799549,0,TRUE,0.37748534936995,0.345578522662393,0.022578218043693,21
"50","Dissolved_Oxygen","lvl07_population_density","thr_day",0.603575324532778,0,TRUE,0.629452983284433,0.577770650536812,0.0503453733374377,21
"51","pH","lvl07_population_density","thr_day",0.205788738530659,2.23200609090508e-60,TRUE,0.230390969869997,0.181170075546369,0.00568457826495233,21
"52","Dissolved_Chloride","lvl07_population_density","thr_day",1.78902628396929,0,TRUE,1.8778659431415,1.70307219571127,0.392195530731683,21
"53","Nitrate","lvl07_population_density","thr_day",-0.789925255900995,3.65778429333346e-161,TRUE,-0.733537176855477,-0.848025416029438,0.0294272758138454,21
"54","Turbidity","lvl07_population_density","thr_day",0.287776786012566,2.6154547730212e-123,TRUE,0.311649402907039,0.263880753721992,0.00837164509113326,21
"55","Total_Phosphorous","lvl07_population_density","thr_day",0.276494427677118,3.16710913965954e-15,TRUE,0.344691101896317,0.207184238682238,0.00255707529603328,21
"56","Total_Dissolved_Solids","lvl07_population_density","thr_day",-2.94655951635913,0,TRUE,-2.81005522005242,-3.08823996405228,0.15185797731962,21
"57","Conductivity","lvl07_rail","thr_day",0.544203645267517,0,TRUE,0.55968852092588,0.528776262047289,0.0595205624223692,21
"58","Dissolved_Oxygen","lvl07_rail","thr_day",0.317880911564531,2.86382212051045e-237,TRUE,0.336768641010349,0.298881365753351,0.0222030834810691,21
"59","pH","lvl07_rail","thr_day",-0.932632238471868,0,TRUE,-0.886548768343652,-0.979430415687079,0.0491663302969503,21
"60","Dissolved_Chloride","lvl07_rail","thr_day",1.5772991581864,0,TRUE,1.65198947989136,1.50369752378636,0.313288956386324,21
"61","Nitrate","lvl07_rail","thr_day",0.342128700475139,1.11337672675187e-101,TRUE,0.373505821678225,0.31085473446204,0.0120118432739269,21
"62","Turbidity","lvl07_rail","thr_day",-0.0695500113435597,1.09277824944444e-11,TRUE,-0.0496134335029852,-0.0897462425113865,0.000743331145208444,21
"63","Total_Phosphorous","lvl07_rail","thr_day",-0.215376889558198,5.15559489268026e-11,TRUE,-0.151275444609268,-0.279852125916949,0.00193813049150949,21
"64","Total_Dissolved_Solids","lvl07_rail","thr_day",1.33059273272525,0,TRUE,1.39415257399696,1.26734693514892,0.0537662265577135,21
"65","Conductivity","lvl07_roads","thr_day",0.449716766780082,0,TRUE,0.467631850130576,0.43187173940498,0.0291412533356003,21
